zip_code,building_type, consumption_therms, consumption_gj,utility_data_source
10311,Commercial,55290,5833,National Grid
10312,Large Residential,3034,320,National Grid
10312,Industrial,13482,1422,National Grid
10312,Institutional,273950,28903,National Grid
10312,Commercial,1174629,123930,National Grid
10312,Small Residential,16356892,1725744,National Grid
10314,Industrial,441639,46595,National Grid
10314,Large Residential,2046659,215934,National Grid
10314,Institutional,2294516,242084,National Grid
10314,Small Residential,19041165,2008950,National Grid
10314,Commercial,42747652,4510117,National Grid
10335,Commercial,647,68,National Grid
10360,Large Residential,33762,3562,National Grid
10451,Residential,259959,27427,ConEd
10451,Residential,697652,73606,ConEd
10451,Commercial,2168883,228829,ConEd
10451,Large Residential,3433811,362286,ConEd
10451,Commercial,8071587,851598,ConEd
10452,Large Residential,93786,9895,ConEd
10452,Residential,786394,82969,ConEd
10452,Residential,986430,104074,ConEd
10452,Commercial,1823135,192351,ConEd
10452,Commercial,8504273,897248,ConEd
10453,Residential,785354,82859,ConEd
10453,Large Residential,1136648,119923,ConEd
10453,Residential,1591607,167923,ConEd
10453,Commercial,1766420,186367,ConEd
10453,Commercial,7851638,828392,ConEd
10454,Residential,151124,15944,ConEd
10454,Residential,1001876,105704,ConEd
10454,Commercial,2249303,237314,ConEd
10454,Commercial,9709459,1024402,ConEd
10455,Large Residential,51911,5477,ConEd
10455,Residential,226661,23914,ConEd
10455,Commercial,1642415,173284,ConEd
10455,Residential,1650436,174130,ConEd
10455,Commercial,4937392,520923,ConEd
10456,Large Residential,161363,17025,ConEd
10456,Residential,600008,63304,ConEd
10456,Residential,1999484,210957,ConEd
10456,Commercial,2957732,312057,ConEd
10456,Commercial,14583516,1538643,ConEd
10457,Large Residential,182574,19263,ConEd
10457,Residential,779330,82224,ConEd
10457,Residential,1697773,179125,ConEd
10457,Commercial,3139507,331236,ConEd
10457,Commercial,5354415,564921,ConEd
10458,Residential,1068746,112759,ConEd
10458,Residential,1321890,139467,ConEd
10458,Commercial,2860723,301822,ConEd
10458,Large Residential,2881283,303991,ConEd
10458,Commercial,4109461,433571,ConEd
10459,Large Residential,62003,6542,ConEd
10459,Residential,317074,33453,ConEd
10459,Commercial,1859762,196215,ConEd
10459,Residential,2246422,237010,ConEd
10459,Commercial,5960440,628860,ConEd
10460,Large Residential,121201,12787,ConEd
10460,Residential,469613,49547,ConEd
10460,Residential,1686599,177946,ConEd
10460,Commercial,6492444,684989,ConEd
10460,Commercial,7936792,837376,ConEd
