zip_code,building_type, consumption_therms, consumption_gj,utility_data_source
11385,Small Residential,15255284,1609518,National Grid
11388,Commercial,823,87,National Grid
11400,Industrial,275,29,National Grid
11400,Large Residential,280,30,National Grid
11400,Commercial,21866,2307,National Grid
11400,Small Residential,51072,5388,National Grid
11400,Institutional,93140,9827,National Grid
11402,Commercial,65,7,National Grid
11403,Small Residential,1127,119,National Grid
11411,Industrial,4193,442,National Grid
11411,Large Residential,45368,4787,National Grid
11411,Commercial,262173,27661,National Grid
11411,Institutional,316866,33431,National Grid
11411,Small Residential,5417452,571572,National Grid
11412,Large Residential,151333,15966,National Grid
11412,Industrial,164379,17343,National Grid
11412,Commercial,522819,55160,National Grid
11412,Institutional,1496825,157923,National Grid
11412,Small Residential,9127477,963000,National Grid
11413,Large Residential,112283,11846,National Grid
11413,Industrial,387601,40894,National Grid
11413,Institutional,394872,41661,National Grid
11413,Commercial,639059,67424,National Grid
